id,name,lat,lon,parameters
13,"Delhi Technological University, Delhi - CPCB",28.744,77.12,"no2, o3, pm25"
15,IGI Airport,28.56,77.094,"co, no2, o3, pm10, pm25"
16,Civil Lines,28.6787,77.2262,"co, no2, pm10, pm25"
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,"co, no2, o3, pm10, pm25"
235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,"co, no2, o3, pm10, pm25, so2"
431,"IHBAS, Delhi - CPCB",28.6821,77.305,"co, no2, pm25, so2"
2503,"Shadipur, Delhi - CPCB",28.651699999999998,77.1581,"co, no2, o3, pm25, so2"
2587,"Sector16A, Faridabad - HSPCB",28.410122219999998,77.313775,"co, no2, o3, pm10, pm25, so2"
2597,US Diplomatic Post: New Delhi,28.598096,77.189066,pm25
5404,"Pusa, Delhi - IMD",28.639645,77.146263,"co, co, no, no2, no2, nox, o3, pm10, pm10, pm25, pm25"
5509,"Anand Vihar, Delhi - DPCC",28.647622000000002,77.315809,"co, no2, o3, pm10, pm25, so2"
5540,"Punjabi Bagh, Delhi - DPCC",28.6670856,77.1301247,"co, no2, o3, pm10, pm25, so2"
5541,"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25"
5570,"Aya Nagar, New Delhi - IMD",28.474261,77.131606,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25"
5581,"Pusa, New Delhi - IMD",28.610304,77.0996943,"co, no2, o3, pm10, pm25"
5586,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
5598,"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
5610,"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,"co, co, no, no2, no2, nox, o3, o3, o3, pm10, pm10, pm25, pm25"
5613,"ITO, New Delhi - CPCB",28.628624,77.24106,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, so2, so2"
5616,"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,"co, no, no2, nox, o3, pm10, pm25"
5617,"Sector- 16A, Faridabad - HSPCB",28.4088421,77.3099081,"co, no2, o3, pm10, pm25, so2"
5622,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
5626,"DTU, New Delhi - CPCB",28.7500499,77.1112615,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
5627,"CRRI Mathura Road, New Delhi - IMD",28.5512005,77.2735737,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25"
